country,year,tax_price_only,ets_price_only,has_tax,has_ets,any_carbon_price_dummy,carbon_price_max,tax_type,tax_price
Switzerland,2024,132.122213,59.173245,1,1,1,132.122213,3,132.122213
Switzerland,2025,136.038998,64.749576,1,1,1,136.038998,3,136.038998
Ukraine,2016,0.012692,0.000000,1,0,1,0.012692,1,0.012692
Ukraine,2017,0.013668,0.000000,1,0,1,0.013668,1,0.013668
Ukraine,2018,0.015443,0.000000,1,0,1,0.015443,1,0.015443
Ukraine,2019,0.368369,0.000000,1,0,1,0.368369,1,0.368369
Ukraine,2020,0.384615,0.000000,1,0,1,0.384615,1,0.384615
Ukraine,2021,0.359420,0.000000,1,0,1,0.359420,1,0.359420
Ukraine,2022,1.025469,0.000000,1,0,1,1.025469,1,1.025469
Ukraine,2023,0.820376,0.000000,1,0,1,0.820376,1,0.820376
Ukraine,2024,0.767756,0.000000,1,0,1,0.767756,1,0.767756
Ukraine,2025,0.730410,0.000000,1,0,1,0.730410,1,0.730410
United Kingdom,2013,7.470268,0.000000,1,0,1,7.470268,1,7.470268
United Kingdom,2014,15.894065,0.000000,1,0,1,15.894065,1,15.894065
United Kingdom,2015,26.711392,0.000000,1,0,1,26.711392,1,26.711392
United Kingdom,2016,25.714800,0.000000,1,0,1,25.714800,1,25.714800
United Kingdom,2017,22.414500,0.000000,1,0,1,22.414500,1,22.414500
United Kingdom,2018,25.310700,0.000000,1,0,1,25.310700,1,25.310700
United Kingdom,2019,23.589000,0.000000,1,0,1,23.589000,1,23.589000
United Kingdom,2020,22.284000,0.000000,1,0,1,22.284000,1,22.284000
United Kingdom,2021,24.795000,0.000000,1,0,1,24.795000,1,24.795000
United Kingdom,2022,23.653800,98.557500,1,1,1,98.557500,3,98.557500
United Kingdom,2023,22.275900,88.125935,1,1,1,88.125935,3,88.125935
United Kingdom,2024,22.618800,45.061676,1,1,1,45.061676,3,45.061676
United Kingdom,2025,23.237100,57.227814,1,1,1,57.227814,3,57.227814
Uruguay,2022,137.295411,0.000000,1,0,1,137.295411,1,137.295411
Uruguay,2023,155.868350,0.000000,1,0,1,155.868350,1,155.868350
Uruguay,2024,167.173810,0.000000,1,0,1,167.173810,1,167.173810
Uruguay,2025,158.764742,0.000000,1,0,1,158.764742,1,158.764742
Australia,2012,0.000000,23.924600,0,1,1,23.924600,2,23.924600
Australia,2013,0.000000,24.584508,0,1,1,24.584508,2,24.584508
Australia,2014,0.000000,22.370145,0,1,1,22.370145,2,22.370145
Australia,2024,0.000000,21.903750,0,1,1,21.903750,2,21.903750
Australia,2025,0.000000,21.816120,0,1,1,21.816120,2,21.816120
Austria,2005,0.000000,19.049730,0,1,1,19.049730,2,19.049730
Austria,2006,0.000000,32.353992,0,1,1,32.353992,2,32.353992
Austria,2007,0.000000,1.251892,0,1,1,1.251892,2,1.251892
Austria,2008,0.000000,34.483320,0,1,1,34.483320,2,34.483320
Austria,2009,0.000000,15.550804,0,1,1,15.550804,2,15.550804
Austria,2010,0.000000,17.265976,0,1,1,17.265976,2,17.265976
Austria,2011,0.000000,23.756880,0,1,1,23.756880,2,23.756880
Austria,2012,0.000000,9.322488,0,1,1,9.322488,2,9.322488
Austria,2013,0.000000,6.043960,0,1,1,6.043960,2,6.043960
Austria,2014,0.000000,6.757100,0,1,1,6.757100,2,6.757100
Austria,2015,0.000000,7.689825,0,1,1,7.689825,2,7.689825
Austria,2016,0.000000,5.921776,0,1,1,5.921776,2,5.921776
Austria,2017,0.000000,5.644848,0,1,1,5.644848,2,5.644848
Austria,2018,0.000000,16.263720,0,1,1,16.263720,2,16.263720
Austria,2019,0.000000,24.505716,0,1,1,24.505716,2,24.505716
Austria,2020,0.000000,18.536520,0,1,1,18.536520,2,18.536520
Austria,2021,0.000000,49.779548,0,1,1,49.779548,2,49.779548
Austria,2022,0.000000,86.526108,0,1,1,86.526108,2,86.526108
Austria,2023,0.000000,96.298125,0,1,1,96.298125,2,96.298125
Austria,2024,0.000000,61.301547,0,1,1,61.301547,2,61.301547
Austria,2025,0.000000,70.370124,0,1,1,70.370124,2,70.370124
Belgium,2005,0.000000,19.049730,0,1,1,19.049730,2,19.049730
Belgium,2006,0.000000,32.353992,0,1,1,32.353992,2,32.353992
Belgium,2007,0.000000,1.251892,0,1,1,1.251892,2,1.251892
Belgium,2008,0.000000,34.483320,0,1,1,34.483320,2,34.483320
Belgium,2009,0.000000,15.550804,0,1,1,15.550804,2,15.550804
Belgium,2010,0.000000,17.265976,0,1,1,17.265976,2,17.265976
Belgium,2011,0.000000,23.756880,0,1,1,23.756880,2,23.756880
Belgium,2012,0.000000,9.322488,0,1,1,9.322488,2,9.322488
Belgium,2013,0.000000,6.043960,0,1,1,6.043960,2,6.043960
Belgium,2014,0.000000,6.757100,0,1,1,6.757100,2,6.757100
Belgium,2015,0.000000,7.689825,0,1,1,7.689825,2,7.689825
Belgium,2016,0.000000,5.921776,0,1,1,5.921776,2,5.921776
Belgium,2017,0.000000,5.644848,0,1,1,5.644848,2,5.644848
Belgium,2018,0.000000,16.263720,0,1,1,16.263720,2,16.263720
Belgium,2019,0.000000,24.505716,0,1,1,24.505716,2,24.505716
Belgium,2020,0.000000,18.536520,0,1,1,18.536520,2,18.536520
Belgium,2021,0.000000,49.779548,0,1,1,49.779548,2,49.779548
Belgium,2022,0.000000,86.526108,0,1,1,86.526108,2,86.526108
Belgium,2023,0.000000,96.298125,0,1,1,96.298125,2,96.298125
Belgium,2024,0.000000,61.301547,0,1,1,61.301547,2,61.301547
Belgium,2025,0.000000,70.370124,0,1,1,70.370124,2,70.370124
Bulgaria,2005,0.000000,19.049730,0,1,1,19.049730,2,19.049730
Bulgaria,2006,0.000000,32.353992,0,1,1,32.353992,2,32.353992
Bulgaria,2007,0.000000,1.251892,0,1,1,1.251892,2,1.251892
